name,time,beacon,location,rssi,scanner
TestRSSI2,1578637176932000000,0117C55D14E4,T1_4,-82,E6D9D20DD197
TestRSSI2,1578637176964000000,0117C55D14E4,T1_4,-73,E96AF2C858BA
TestRSSI2,1578637176980000000,0117C55D14E4,T1_4,-74,F1307ECB3B90
TestRSSI2,1578637177017000000,0117C55D14E4,T1_4,-79,E13B805C6CB0
TestRSSI2,1578637177076000000,0117C55D14E4,T1_4,-75,E6D9D20DD197
TestRSSI2,1578637177088000000,0117C55D14E4,T1_4,-69,E96AF2C858BA
TestRSSI2,1578637177108000000,0117C55D14E4,T1_4,-69,CD4533FFC0E1
TestRSSI2,1578637177121000000,0117C55D14E4,T1_4,-91,C400A2E19293
TestRSSI2,1578637177140000000,0117C55D14E4,T1_4,-75,EC72840D9AD3
TestRSSI2,1578637177178000000,0117C55D14E4,T1_4,-70,E13B805C6CB0
TestRSSI2,1578637177185000000,0117C55D14E4,T1_4,-70,E6D9D20DD197
TestRSSI2,1578637177292000000,0117C55D14E4,T1_4,-77,DB8B36A69C56
TestRSSI2,1578637177313000000,0117C55D14E4,T1_4,-92,FB2EE01C18CE
TestRSSI2,1578637177316000000,0117C55D14E4,T1_4,-71,E96AF2C858BA
TestRSSI2,1578637177368000000,0117C55D14E4,T1_4,-71,EC72840D9AD3
TestRSSI2,1578637177434000000,0117C55D14E4,T1_4,-75,E6D9D20DD197
TestRSSI2,1578637177448000000,0117C55D14E4,T1_4,-70,E96AF2C858BA
TestRSSI2,1578637177465000000,0117C55D14E4,T1_4,-72,CD4533FFC0E1
TestRSSI2,1578637177489000000,0117C55D14E4,T1_4,-76,E6D9D20DD197
TestRSSI2,1578637177510000000,0117C55D14E4,T1_4,-71,E13B805C6CB0
TestRSSI2,1578637177515000000,0117C55D14E4,T1_4,-80,FB2EE01C18CE
TestRSSI2,1578637177559000000,0117C55D14E4,T1_4,-70,F69A86823B96
TestRSSI2,1578637177603000000,0117C55D14E4,T1_4,-73,E6D9D20DD197
TestRSSI2,1578637177645000000,0117C55D14E4,T1_4,-87,DD697EA75B68
TestRSSI2,1578637177649000000,0117C55D14E4,T1_4,-84,E13B805C6CB0
TestRSSI2,1578637177655000000,0117C55D14E4,T1_4,-87,C400A2E19293
TestRSSI2,1578637177711000000,0117C55D14E4,T1_4,-70,E6D9D20DD197
TestRSSI2,1578637177734000000,0117C55D14E4,T1_4,-72,EC72840D9AD3
TestRSSI2,1578637177784000000,0117C55D14E4,T1_4,-91,FB2EE01C18CE
TestRSSI2,1578637177796000000,0117C55D14E4,T1_4,-56,DF231643E227
TestRSSI2,1578637177797000000,0117C55D14E4,T1_4,-70,E13B805C6CB0
TestRSSI2,1578637177800000000,0117C55D14E4,T1_4,-72,CD4533FFC0E1
TestRSSI2,1578637177849000000,0117C55D14E4,T1_4,-71,E96AF2C858BA
TestRSSI2,1578637177934000000,0117C55D14E4,T1_4,-52,DF231643E227
TestRSSI2,1578637177934000000,0117C55D14E4,T1_4,-76,CD4533FFC0E1
